iterations,computation_time,jit_time
2,0.0001525282859802246,7.681020736694336
2,0.00015425682067871094,7.606458485126495
4,0.00015723705291748047,4.573172748088837
5,0.00015854835510253906,4.603980302810669
8,0.0001665353775024414,4.560710549354553
11,0.00016480684280395508,4.613850772380829
16,0.00017625093460083008,4.542381525039673
22,0.00018298625946044922,4.599047958850861
32,0.0002014636993408203,4.506354987621307
45,0.00022023916244506836,4.543622016906738
64,0.0002537369728088379,4.52105325460434
90,0.00029146671295166016,4.533204019069672
128,0.00035250186920166016,4.529346764087677
181,0.00043720006942749023,4.551523268222809
256,0.0005577802658081055,4.518680036067963
362,0.0007072687149047852,4.52199524641037
512,0.0008717179298400879,4.515343010425568
724,0.001088559627532959,4.530340075492859
1024,0.001410067081451416,4.521600723266602
1448,0.0018467307090759277,4.531047463417053
2048,0.0024302005767822266,4.567836821079254
2896,0.0033875107765197754,4.2759005427360535
4096,0.004287242889404297,4.383155703544617
5792,0.005996286869049072,4.417175054550171
8192,0.008740723133087158,4.439289033412933
11585,0.012169957160949707,4.480132758617401
16384,0.01683276891708374,4.48841255903244
23170,0.016376256942749023,3.6108292937278748
32768,0.021169424057006836,3.461887240409851
46340,0.04288679361343384,3.5261210203170776
65536,0.03793156147003174,3.6520147919654846
92681,0.050393521785736084,3.673684775829315
131072,0.0703350305557251,3.627947747707367
185363,0.09614747762680054,3.5815112590789795
262144,0.13455677032470703,3.6022667288780212
370727,0.1877015233039856,3.671964704990387
524288,0.26355546712875366,3.740957736968994
741455,0.3686932325363159,3.8659265637397766
1482910,0.7835062742233276,4.695420682430267
2097152,1.0674397945404053,6.565546452999115
2965820,1.5496672987937927,6.428358435630798
4194304,2.197923004627228,6.974352538585663
5931641,2.9992244839668274,9.163150012493134
8388608,4.240369558334351,7.992153286933899
11863283,6.00260454416275,9.799135267734528
16777216,8.475816249847412,12.38094300031662
23726566,12.020294964313507,15.944718778133392
33554432,17.043329060077667,22.910086452960968
47453132,25.36243498325348,30.79428404569626
67108864,35.85582774877548,39.22704201936722
94906265,57.14050751924515,58.63688051700592
134217728,79.0631992816925,82.37473702430725
189812531,109.1510482430458,112.36015599966049
268435456,153.89035671949387,151.7060902118683
